Date;Open;High;Low;Close;Change %
01-12-2003;3,462100028991699;3,462100028991699;3,462100028991699;3,462100028991699;
02-12-2003;3,41510009765625;3,41510009765625;3,41510009765625;3,41510009765625;-1,36%
03-12-2003;3,4798998832702637;3,4798998832702637;3,4798998832702637;3,4798998832702637;+1,90%
04-12-2003;3,459700107574463;3,459700107574463;3,459700107574463;3,459700107574463;-0,58%
05-12-2003;3,4793999195098877;3,4793999195098877;3,4793999195098877;3,4793999195098877;+0,57%
08-12-2003;3,507499933242798;3,507499933242798;3,507499933242798;3,507499933242798;+0,81%
09-12-2003;3,526099920272827;3,526099920272827;3,526099920272827;3,526099920272827;+0,53%
10-12-2003;3,5146000385284424;3,5146000385284424;3,5146000385284424;3,5146000385284424;-0,33%
11-12-2003;3,496500015258789;3,496500015258789;3,496500015258789;3,496500015258789;-0,51%
12-12-2003;3,5250000953674316;3,5250000953674316;3,5250000953674316;3,5250000953674316;+0,82%
15-12-2003;3,5064001083374023;3,5064001083374023;3,5064001083374023;3,5064001083374023;-0,53%
16-12-2003;3,522900104522705;3,522900104522705;3,522900104522705;3,522900104522705;+0,47%
17-12-2003;3,546799898147583;3,546799898147583;3,546799898147583;3,546799898147583;+0,68%
18-12-2003;3,5571999549865723;3,5571999549865723;3,5571999549865723;3,5571999549865723;+0,29%
19-12-2003;3,5576000213623047;3,5576000213623047;3,5576000213623047;3,5576000213623047;+0,01%
22-12-2003;3,5564000606536865;3,5564000606536865;3,5564000606536865;3,5564000606536865;-0,03%
23-12-2003;3,544300079345703;3,544300079345703;3,544300079345703;3,544300079345703;-0,34%
29-12-2003;3,5490000247955322;3,5490000247955322;3,5490000247955322;3,5490000247955322;+0,13%
30-12-2003;3,5176000595092773;3,5176000595092773;3,5176000595092773;3,5176000595092773;-0,88%
31-12-2003;3,5176000595092773;3,5176000595092773;3,5176000595092773;3,5176000595092773;+0,00%
02-01-2004;3,5597000122070312;3,5597000122070312;3,5597000122070312;3,5597000122070312;+1,20%
05-01-2004;3,5634000301361084;3,5634000301361084;3,5634000301361084;3,5634000301361084;+0,10%
06-01-2004;3,54259991645813;3,54259991645813;3,54259991645813;3,54259991645813;-0,58%
07-01-2004;3,568700075149536;3,568700075149536;3,568700075149536;3,568700075149536;+0,74%
08-01-2004;3,521699905395508;3,521699905395508;3,521699905395508;3,521699905395508;-1,32%
09-01-2004;3,552500009536743;3,552500009536743;3,552500009536743;3,552500009536743;+0,87%
12-01-2004;3,5517001152038574;3,5517001152038574;3,5517001152038574;3,5517001152038574;-0,02%
13-01-2004;3,4672000408172607;3,4672000408172607;3,4672000408172607;3,4672000408172607;-2,38%
